#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jotunn;Jotunn;Jotunn;Jotunn;;Jotunn;;;;;;;;;x
EVTOPTAMYTH.45;Good riddance.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.46;The Knights of Helsing;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.46;With the rise of ungodly monsters laying waste to the world, an increasing number of men loyal to the church have begun to organize against them. A Dutch scholar by the name of Van Helsing has founded an order of knights for these so called monster hunters, in the hopes that they might fight back against the growing hordes of demons.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.46;Godspeed to them.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.47;Monster Hunter;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.47;After spending many weeks with your fellow knights training in ways to hunt the demons of the world, you feel you can truly call yourself a monster hunter.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.47;I shall fear no evil.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.48;Vampire Succession;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.48;You have founded an empire of immortals, and named yourself Archsire as first among them. Henceforth, the oldest of the vampires shall rule them all.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.48;It is only fitting.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.49;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.49;One of your subjects, an arrogant pup who thinks himself strong, has dared to challenge you in single combat for rule of the wolves. The duel is to the death, but refusing it would make you seem a coward.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.49;Of course I must accept!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.49;But I might actually lose...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.50;Challenge Accepted;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.50;As expected, your liege has accepted your challenge. You will battle him in two weeks time.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.50;He will die like the dog he is.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.51;Challenge Refused;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.51;Your liege has refused your right to challenge him, dishonoring himself in the process.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.51;That coward will pay for this!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.52;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.52;The duel begins at sunset. You and your opponent shift forms as the moon rises over the night sky, both knowing that only one will see tomorrow.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.52;Strike hard and fast.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.52;Pause, and wait for your opponent to move.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.53;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.53;Your opponent lunges at you quickly, and you move to deflect the strike. Too late, you realize that the attack was a feint, and you soon find sharp teeth in your neck. You are flung to the ground, bleeding badly and unable to retaliate any longer.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.53;This is the end, then.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.54;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.54;Your opponent lunges at you quickly but hastily. You deftly deflect the attack, and send him several paces behind you with his own momentum, giving you a chance to strike back.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.54;Strike hard and fast.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.54;Pause, and wait for your opponent to move.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.55;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.55;Your opponent pauses in the combat, awaiting your move.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.55;Take advantage of his hesitation.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.55;Wait for him to strike first.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.56;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.56;Your attack was successful! You tear out half of your opponent's throat in a lunge at his neck, and he now lies defeated and bleeding heavily beneath you.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.56;Finish it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.57;Werewolf Challenge;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.57;Your opponent has defeated you utterly, and deals you the killing blow as you are helpless to resist.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.57;It was a battle worthy of the greatest of warriors.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.58;Godhood;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.58;Your parents are gods, and so shall you be.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.58;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.59;Demi-godhood.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.59;As you grow older, you realize that you are different from other children: stronger, faster, and even wiser. You wonder why this is, but try not to question your gifts too heavily.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.59;Perhaps I am more than a man...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.60;Wife Impregnated by Zeus;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.60;Your wife has told you a strange tale. She recounts how last night as she was going for a walk, a beautiful swan appeared to her. Unable to resist its charms, she spent the night in its embrace.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.60;... What?!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.61;Wife Impregnated by Zeus;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.61;You recall a strange dream last night in which a beautiful swan appeared to you and seduce you. Of course, you pass off this dream as mere nonsense.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.61;Still, how strange.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.62;Quest Begins;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.62;You have assembled your party and made all preparations. Now you need only decide to where your quest will take you.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.62;I shall seek the golden fleece.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.62;I shall slay the legendary gorgon, Medusa.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.62;On second thought, these quests sound dangerous.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.63;Fleece 1;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.63;You have followed rumors of the fleece to a remote land across the Black Sea. An old man, claiming to be king in these lands, tells you that he posesses it, and will give it to you only if you should pass three arduous trials, any of which may claim your life.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.63;Bring on your trials, sir.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.63;These trials sound dangerous...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.64;Fleece Oxen;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.64;You arrive at the first of your trials, where you are told you must plow a field. You rejoice at the trial's ease when you see two oxen ready to pull your plow, until you realize that the oxen are ablaze with magical fire.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.64;I must tame these unholy beasts!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.65;Fleece Army;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.65;You return from the field, singed but alive. The old man tells you that you must now sow the same field, and hands you what he claims are dragon's teeth to sow. Reluctantly, you spread them throughout the field. To your horror, an army of soldiers soon sprouts from the ground and moves against you.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.65;To arms, men! We must repel these demons!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.65;Cast a stone amongst them to confuse the host.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.66;Fleece Dragon;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.66;The battle was fierce, but you eventually emerge victorious. The old man, who you've come to resent, takes you to a large cave and tells you that the fleece awaits within. You enter, and find that he speaks the truth... but a dragon stands guard in front of it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.66;Attempt to steal the fleece from the dragon.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.66;Persuade the dragon that you are a worthy bearer of the fleece.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.67;Fleece Dragon2;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.67;Your stone causes chaos among the ranks of your enemy, causing them to turn on one another. You make quick work of those that remain. The old man takes you to a large cave and tells you that the fleece awaits within. You enter, and find that he speaks the truth... but a dragon stands guard in front of it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.67;Attempt to steal the fleece from the dragon.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.67;Persuade the dragon that you are a worthy bearer of the fleece.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.68;Fleece Success 1;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.68;As if the burns from the oxen weren't enough, the dragonfire stings hot as you quickly snatch the fleece and flee the cave. You are victorious, though some of your men were not so lucky.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.68;A glorious victory.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.69;Fleece Victory 2;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.69;You speak with the dragon for hours, discussing many topics and even enjoying yourself in the process. Night has fallen when the dragon decides that you are indeed worthy of the fleece, which it hands to you and bids you good fortune.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.69;The fleece is mine at last.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.70;Medusa 1;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.70;You arrive at the supposed location of Medusa, a hideous gorgon whose very gaze is said to turn men to stone.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.70;This beast cannot be suffered to live.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.70;On second thought, it sounds like a frightening creature.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.71;Medusa 2;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.71;You enter the beast's lair, and see evidence of its horrible powers. Unbelivably life-like statutes of men litter the cavern, and reflective steel lines several walls, perhaps to allow the beast to find its prey more easily. You see movement on the far side of the room.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.71;Close your eyes and attempt to fight the beast.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.71;Use the mirrored walls to fight the beast without looking directly at it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.72;Medusa 3;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.72;The fight is difficult without the benefit of your sight, but you eventually succeed in killing the hideous gorgon. You take its head as a prize, careful not to look at it while you do so.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.72;Another fell beast removed from the world.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.73;Medusa 4;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.73;Using the walls, you find the monster stalking you from behind a pillar. Remarkably, it doesn't seem to notice the same technique, and you surprise it, severing its head in a single blow. Careful not to meet even its dead gaze, you take the head as a trophy.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.73;A glorious victory.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.74;Zeus 2;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.74;You had your fun last night, but it may not be without consequence.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.74;Oh well.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.75;Zeus 1;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.75;It has been a long time since you indulged your carnal desires. You decide to head down to the realm of mortals for some fun.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.75;OK;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.76;Dragon Emergence;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.76;You are a dragon.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.76;OK;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.77;Dragonborn Emergence;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.77;Only one of your parents is a dragon, so you get to be dragonborn.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.77;OK;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.78;Dragon Angers Locals;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.78;Some local human peasants have come to you complaining that you've been flying around eating their farm animals and burning their lands. You try to explain that no dragon could be expected not to do these things, but they don't seem convinced.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.78;Pay them off.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.78;Ignore them.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.78;Assure them that you'll try to be more prudent in the future.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.79;Small Hoard;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.79;You've noticed that your hoard of wealth is meager even by human standards, and this ill-befits a dragon such as yourself. ;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.79;Exact a special tax on your vassals.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.79;Reevaluate your realm's expenses.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.79;Accept your poverty for now.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.80;Offer of Vampirism;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.80;You've received a strange letter from [From.GetTitledFirstName] in which he claims to be an immortal and powerful vampire. Stranger still, the letter contains an offer to share this "gift!";Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.80;Why of course!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.80;Politely decline.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.80;This is heresy!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.81;Offer of Vampirism Accepted;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.81;[From.GetTitledFirstName] has returned your offer and gladly accepts it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.81;Bring [From.GetTitledFirstName] into the fold.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.81;Give [From.GetTitledFirstName] the gift alone.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.82;Offer of Vampirism Declined;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.82;[From.GetTitledFirstName] has returned your offer along with a regretful decline.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.82;They don't know what they're missing.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.83;Offer of Vampirism Declined 2;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.83;[From.GetTitledFirstName] has returned your offer along with vehement scorn and plans to expose you as a monster to the world!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.83;Damn!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.84;Offer of Lycanthropy;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.84;You've received a strange letter from [From.GetTitledFirstName] in which he claims to be an immortal and powerful werewolf (whatever that is). Stranger still, the letter contains an offer to share this "gift!";Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.84;Why of course!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.84;Politely decline.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.84;This is heresy!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.85;Offer of Lycanthropy Accepted;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.85;[From.GetTitledFirstName] has returned your offer and gladly accepts it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.85;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.86;Offer of Lycanthropy Declined;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.86;[From.GetTitledFirstName] has returned your offer along with a regretful decline.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.86;They don't know what they're missing.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.87;Offer of Lycanthropy Declined 2;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.87;[From.GetTitledFirstName] has returned your offer along with vehement scorn and plans to expose you as a monster to the world!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.87;Damn!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.88;You Grow Stronger;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.88;As a werewolf, the long decades do not wear away at you, but instead make you healthier. You awaken today feeling wiser and stronger than ever before.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.88;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.89;You Grow Stronger;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.89;As a dragon, the long decades do not wear away at you, but instead make you healthier, and your long experience ruling shows over younger peers. You awaken today feeling wiser than ever before.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.89;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.90;Blood of the Gods;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.90;One of your parents was born of a god, and some part of that powerful blood flows on in you.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.90;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.91;Province Exterminated;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.91;Over the months since conquering this region, numerous civilians have resisted the horde. Now they have faded into obscurity, and most have been turned or wiped out.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.91;Glory to the Horde!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.92;Province Reclaimed;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.92;In the months since retaking this province from the undead plague, your troops have worked hard to hunt down and exterminate any remnants of it. Finally you can claim some success, and braver colonists from your homeland have begun to move into the now-empty homes and castles here.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.92;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.93;Zombie law change;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.93;You lead an army of undead and there are no limits to your authority.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.93;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.94;Familiar Decision;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.94;You have spent much time honing your magical skills, but have realized that they could be taken even further. Summoning a familiar could raise your potential to new heights, though the process could be costly and time consuming.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.94;Attempt to summon a dove.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.94;Attempt to summon a wolf.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.94;Attempt to summon a crow.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTDMYTH.94;Attempt to summon a rat.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTEMYTH.94;Attempt to summon an owl.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTFMYTH.94;I can't afford this...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.95;Familiar Result;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.95;Your attempt to summon a familiar was a success! You now have a new magical companion to aid you.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.95;Maybe I'll name it too...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.96;Familiar Decision;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.96;Your attempt to summon a familiar was a failure! Despite months of effort, you're left with nothing but a disturbing pile of mixed animal parts on your summoning table.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.96;Uh... someone clean this up, please.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.97;Disease Removal;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.97;Lesser men may be ridden with disease, but your kind need not be bothered by such things.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.97;Of course not.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.98;Set Seduction for Zeus;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.98;You are Zeus, God-King of Olympus, and you have achieved all anyone could dream of. Except perhaps a few more pleasures of Earthly flesh...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.98;Why not?;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.99;Magical Upbringing Conclusion;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCAMYTH.99;You were trained in the art of magic from an early age, but it didn't go very well.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCBMYTH.99;You were trained in the art of magic from an early age, and the effort was more or less successful.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCCMYTH.99;You were trained in the art of magic from an early age, and it paid off well.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCDMYTH.99;You were trained in the art of magic from an early age, and you excelled in every way.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.99;Oh well.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.99;Alright.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTCMYTH.99;Good.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTDMYTH.99;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
